country,stream,level,course_name,college_name,ranking,duration_years,total_cost_local,total_cost_inr,avg_salary_local,avg_salary_inr,roi,payback_years
USA,Engineering & Technology,UG,Aerospace Engineering; Chemical Engineering; Civil Engineering; Computer Science & Engineering (EECS); Electrical Engineering; Environmental Engineering; Materials Science & Engineering; Mechanical Engineering; Nuclear Science & Engineering; Ocean Engineering; Biological Engineering,Massachusetts Institute of Technology (MIT),1,4.0,249101.79640718564,20800000.0,126638.0,10574273.0,1.541892548076923,1.9670383013565094
USA,Engineering & Technology,UG,Aeronautics & Astronautics; Bioengineering; Chemical Engineering; Civil Engineering; Computer Science; Electrical Engineering; Environmental Engineering; Materials Science & Engineering; Mechanical Engineering; Petroleum Engineering; Product Design,Stanford University,3,4.0,249101.79640718564,20800000.0,123442.0,10307407.0,1.4777420673076922,2.017966303261334
USA,Engineering & Technology,UG,Applied Mathematics; Biomedical Engineering; Computer Science; Electrical Engineering; Environmental Science & Engineering; Materials Science & Engineering; Mechanical Engineering; Statistics,Harvard University,5,4.0,249101.79640718564,20800000.0,120500.0,10061750.0,1.4186899038461538,2.0672348249558974
USA,Engineering & Technology,UG,Aerospace Engineering; Applied & Computational Mathematics; Bioengineering; Chemical Engineering; Civil Engineering; Computer Science; Electrical Engineering; Environmental Science & Engineering; Materials Science; Mechanical Engineering,California Institute of Technology (Caltech),10,4.0,249101.79640718564,20800000.0,119800.0,10003300.0,1.404639423076923,2.079313826437276
USA,Engineering & Technology,UG,Computer Science; Data Science; Statistics,University of Chicago,13,4.0,249101.79640718564,20800000.0,115000.0,9602500.0,1.3082932692307692,2.166102577453788
USA,Engineering & Technology,UG,Bioengineering (SEAS); Chemical & Biomolecular Engineering; Computer Science; Digital Media Design; Electrical & Systems Engineering; Environmental Engineering; Materials Science & Engineering; Mechanical Engineering & Applied Mechanics; Networked & Social Systems Engineering; Systems Engineering,University of Pennsylvania,15,4.0,249101.79640718564,20800000.0,120000.0,10020000.0,1.4086538461538463,2.0758483033932134
USA,Engineering & Technology,UG,Biological Engineering; Chemical & Biomolecular Engineering; Civil & Environmental Engineering; Computer Science; Electrical & Computer Engineering; Environmental Engineering; Information Science; Materials Science & Engineering; Mechanical & Aerospace Engineering; Operations Research,Cornell University,16,4.0,249101.79640718564,20800000.0,118000.0,9853000.0,1.3685096153846155,2.111032172942251
USA,Engineering & Technology,UG,Bioengineering; Chemical Engineering; Civil & Environmental Engineering; Computer Science; Electrical Engineering & Computer Science (EECS); Environmental Engineering; Industrial Engineering & Operations Research; Materials Science & Engineering; Mechanical Engineering; Nuclear Engineering,"University of California, Berkeley (UCB)",17,4.0,249101.79640718564,20800000.0,122000.0,10187000.0,1.4487980769230768,2.0418180033375872
USA,Engineering & Technology,UG,Biomedical Engineering; Chemical Engineering; Computer Science; Electrical Engineering; Environmental Engineering; Mechanical Engineering & Materials Science,Yale University,21,4.0,249101.79640718564,20800000.0,114000.0,9519000.0,1.2882211538461539,2.1851034772560145
USA,Engineering & Technology,UG,Applied Mathematics & Statistics; Biomedical Engineering; Chemical & Biomolecular Engineering; Civil Engineering; Computer Engineering; Computer Science; Electrical & Computer Engineering; Environmental Engineering; Geography & Environmental Engineering; Materials Science & Engineering; Mechanical Engineering; Neuroscience & Cognitive Science,Johns Hopkins University,24,4.0,249101.79640718564,20800000.0,113000.0,9435500.0,1.2681490384615384,2.204440676169784
